iter	Passed	Remaining
0	191	191175
1	196	97971
2	199	66452
3	204	50861
4	207	41227
5	210	34927
6	213	30308
7	216	26803
8	219	24207
9	222	21994
10	224	20209
11	227	18770
12	231	17596
13	236	16639
14	239	15756
15	242	14910
16	245	14180
17	247	13529
18	251	12995
19	255	12508
20	258	12054
21	261	11631
22	264	11247
23	269	10948
24	273	10662
25	276	10357
26	279	10085
27	283	9844
28	287	9622
29	289	9362
30	293	9160
31	295	8943
32	299	8775
33	302	8598
34	305	8420
35	309	8279
36	312	8129
37	316	8011
38	319	7869
39	321	7727
40	324	7597
41	327	7481
42	332	7392
43	335	7279
44	337	7168
45	341	7072
46	344	6978
47	348	6907
48	351	6817
49	354	6738
50	356	6642
51	360	6569
52	364	6510
53	367	6438
54	370	6369
55	373	6295
56	376	6231
57	380	6173
58	383	6118
59	386	6060
60	389	6002
61	394	5973
62	399	5945
63	403	5907
64	406	5853
65	410	5809
66	413	5756
67	416	5701
68	418	5647
69	421	5597
70	424	5549
71	427	5507
72	429	5457
73	432	5409
74	434	5363
75	437	5316
76	439	5273
77	443	5236
78	445	5194
79	448	5157
80	451	5122
81	454	5087
82	457	5058
83	460	5024
84	463	4991
85	466	4960
86	469	4929
87	472	4898
88	475	4868
89	478	4837
90	481	4807
91	483	4773
92	486	4740
93	489	4715
94	491	4685
95	494	4654
96	496	4624
97	499	4594
98	501	4565
99	504	4542
100	507	4515
101	509	4486
102	512	4461
103	514	4436
104	517	4413
105	521	4394
106	523	4370
107	526	4348
108	529	4327
109	532	4304
110	534	4282
111	538	4266
112	540	4244
113	543	4223
114	546	4202
115	548	4183
116	552	4166
117	555	4148
118	558	4133
119	565	4150
120	573	4164
121	580	4175
122	586	4184
123	593	4195
124	600	4206
125	606	4210
126	612	4208
127	616	4203
128	621	4196
129	626	4190
130	629	4178
131	633	4166
132	638	4160
133	642	4149
134	645	4138
135	649	4125
136	653	4114
137	656	4103
138	659	4087
139	663	4073
140	666	4060
141	671	4057
142	676	4052
143	680	4042
144	683	4030
145	688	4026
146	692	4018
147	695	4001
148	698	3987
149	705	3995
150	710	3992
151	713	3982
152	718	3978
153	721	3966
154	724	3951
155	728	3939
156	731	3928
157	735	3921
158	738	3906
159	741	3892
160	744	3878
161	747	3865
162	752	3862
163	756	3854
164	759	3841
165	762	3829
166	766	3824
167	769	3813
168	772	3799
169	775	3786
170	778	3773
171	782	3767
172	785	3753
173	788	3741
174	790	3728
175	793	3716
176	797	3708
177	800	3695
178	803	3683
179	806	3672
180	808	3658
181	811	3648
182	814	3637
183	817	3625
184	820	3613
185	823	3602
186	825	3589
187	829	3581
188	831	3569
189	834	3557
190	837	3545
191	840	3537
192	844	3532
193	848	3525
194	851	3515
195	854	3505
196	856	3491
197	860	3486
198	864	3477
199	866	3467
200	870	3458
201	872	3448
202	876	3441
203	879	3430
204	881	3420
205	884	3408
206	887	3398
207	889	3387
208	892	3378
209	895	3367
210	897	3356
211	900	3345
212	902	3335
213	905	3324
214	908	3315
215	910	3305
216	913	3296
217	916	3287
218	919	3278
219	922	3270
220	925	3261
221	927	3251
222	930	3241
223	932	3231
224	935	3222
225	938	3215
226	941	3207
227	944	3199
228	947	3191
229	950	3182
230	953	3174
231	957	3168
232	959	3159
233	962	3150
234	965	3142
235	968	3135
236	972	3130
237	975	3124
238	978	3115
239	981	3107
240	984	3100
241	988	3096
242	991	3088
243	994	3081
244	997	3073
245	1000	3065
246	1004	3061
247	1007	3055
248	1010	3047
249	1013	3040
250	1016	3034
251	1020	3029
252	1023	3022
253	1026	3014
254	1029	3006
255	1032	2999
256	1035	2993
257	1038	2986
258	1041	2978
259	1043	2970
260	1046	2962
261	1049	2956
262	1052	2948
263	1054	2941
264	1057	2933
265	1060	2926
266	1063	2920
267	1066	2914
268	1069	2907
269	1072	2900
270	1075	2893
271	1078	2886
272	1081	2880
273	1084	2873
274	1087	2866
275	1089	2859
276	1093	2855
277	1098	2854
278	1104	2855
279	1107	2846
280	1110	2841
281	1114	2837
282	1117	2831
283	1120	2825
284	1123	2818
285	1126	2811
286	1129	2805
287	1132	2800
288	1135	2794
289	1138	2788
290	1142	2782
291	1145	2778
292	1148	2772
293	1152	2766
294	1155	2760
295	1158	2755
296	1162	2751
297	1166	2746
298	1170	2743
299	1173	2737
300	1177	2733
301	1180	2728
302	1183	2722
303	1186	2715
304	1189	2709
305	1193	2705
306	1196	2700
307	1198	2692
308	1202	2688
309	1208	2690
310	1213	2687
311	1216	2682
312	1220	2678
313	1224	2676
314	1229	2673
315	1233	2669
316	1236	2665
317	1242	2664
318	1245	2659
319	1249	2655
320	1253	2651
321	1257	2647
322	1261	2644
323	1265	2640
324	1270	2638
325	1274	2634
326	1277	2629
327	1289	2642
328	1294	2640
329	1299	2639
330	1304	2636
331	1308	2632
332	1311	2627
333	1316	2624
334	1320	2621
335	1325	2618
336	1329	2615
337	1332	2610
338	1337	2607
339	1340	2602
340	1344	2599
341	1347	2593
342	1352	2589
343	1355	2584
344	1358	2579
345	1361	2573
346	1364	2568
347	1368	2564
348	1372	2559
349	1375	2554
350	1378	2549
351	1380	2540
352	1384	2537
353	1387	2532
354	1390	2526
355	1393	2520
356	1396	2515
357	1400	2512
358	1404	2506
359	1407	2501
360	1410	2496
361	1413	2491
362	1417	2487
363	1420	2482
364	1423	2476
365	1426	2470
366	1429	2465
367	1432	2460
368	1435	2455
369	1439	2450
370	1442	2444
371	1446	2441
372	1448	2434
373	1451	2429
374	1455	2425
375	1458	2420
376	1463	2418
377	1467	2414
378	1470	2409
379	1472	2403
380	1476	2398
381	1479	2393
382	1481	2387
383	1484	2381
384	1487	2375
385	1490	2370
386	1495	2368
387	1498	2364
388	1502	2359
389	1505	2355
390	1511	2354
391	1516	2351
392	1520	2348
393	1524	2345
394	1528	2341
395	1532	2337
396	1535	2332
397	1539	2328
398	1542	2323
399	1545	2318
400	1549	2313
401	1552	2308
402	1554	2303
403	1558	2299
404	1561	2294
405	1563	2288
406	1567	2283
407	1571	2279
408	1575	2276
409	1578	2271
410	1582	2267
411	1585	2262
412	1588	2258
413	1591	2252
414	1594	2247
415	1596	2241
416	1599	2236
417	1602	2231
418	1606	2227
419	1609	2222
420	1612	2217
421	1615	2212
422	1617	2206
423	1620	2201
424	1623	2196
425	1625	2190
426	1629	2186
427	1632	2182
428	1635	2177
429	1639	2172
430	1642	2168
431	1644	2161
432	1647	2157
433	1650	2152
434	1653	2147
435	1656	2143
436	1659	2138
437	1662	2133
438	1665	2128
439	1669	2124
440	1672	2119
441	1675	2114
442	1677	2109
443	1680	2104
444	1684	2100
445	1687	2095
446	1690	2090
447	1692	2085
448	1695	2080
449	1698	2075
450	1701	2070
451	1704	2066
452	1707	2061
453	1710	2056
454	1712	2051
455	1716	2047
456	1718	2042
457	1721	2037
458	1724	2032
459	1727	2027
460	1730	2022
461	1733	2018
462	1736	2014
463	1739	2009
464	1742	2004
465	1745	2000
466	1748	1996
467	1751	1991
468	1754	1986
469	1757	1982
470	1760	1977
471	1763	1973
472	1766	1968
473	1769	1963
474	1772	1959
475	1775	1954
476	1779	1950
477	1789	1954
478	1800	1957
479	1807	1958
480	1815	1958
481	1822	1958
482	1830	1958
483	1837	1958
484	1845	1959
485	1850	1957
486	1856	1955
487	1862	1954
488	1868	1952
489	1872	1949
490	1876	1944
491	1879	1940
492	1882	1935
493	1886	1932
494	1888	1927
495	1892	1922
496	1894	1917
497	1898	1913
498	1902	1909
499	1905	1905
500	1908	1901
501	1912	1897
